beach_name,date,Ecoli_1dGM,Ecoli_30dGM,Ecoli_units,ClosureYN,ClosureReason,MonitoringOrg,DOW,units
Watzl's Beach,2018-08-14,1.4,2.8,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2018-08-21,1.4,3,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2018-08-28,76.4,5.9,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2019-05-21,7.7,7.7,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2019-05-28,3.9,5.5,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2019-06-04,2.4,4.2,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2019-06-11,4.2,4.2,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2019-06-18,1,3.2,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2019-06-25,8.9,3.2,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2019-07-02,9,3.8,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2019-07-09,35.9,6.6,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2019-07-16,72.1,11.6,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2019-07-23,1.4,12.4,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2019-07-30,2,9.2,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2019-08-06,24.5,11.2,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2019-08-13,23.8,10.3,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2019-08-20,3.9,5.8,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2019-08-27,51.6,11.8,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2020-06-02,3.2,3.2,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2020-06-09,7.1,4.7,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2020-06-16,17.9,7.4,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2020-06-23,42.7,11.4,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2020-06-30,371.4,22.9,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2020-07-01,112.4,29.9,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2020-07-07,2.4,28.7,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2020-07-14,1,20.7,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2020-07-21,2,14.4,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2020-07-28,60.2,15.2,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2020-08-04,3.9,4.1,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2020-08-11,32.5,6.9,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2020-08-18,35.3,14,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2020-08-25,94.7,30.2,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2020-09-01,88.9,32.7,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2021-05-25,94.9,94.9,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2021-06-08,8.5,28.4,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2021-06-15,1,9.3,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2021-06-22,1.4,5.8,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2021-06-30,2.2,2.3,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2021-07-06,1,1.9,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2021-07-13,47.7,2.7,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2021-07-20,90,6.7,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2021-07-27,61.4,14.3,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2021-08-03,1.4,13,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2021-08-10,2.8,16,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2021-08-17,1,7.4,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2021-08-24,205.9,8.7,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2021-08-31,62.9,8.8,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2022-05-24,1.4,1.4,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2022-05-31,25.4,6,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2022-06-07,3.2,4.8,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2022-06-14,2,3.9,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2022-06-21,2.8,3.6,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2022-06-28,12.8,5.7,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2022-07-05,13.1,5,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2022-07-12,65.2,9.1,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2022-07-19,1.4,8.5,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2022-07-26,3.5,8.8,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2022-08-02,14.4,9,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2022-08-09,118,11.1,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2022-08-16,5.3,6.3,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2022-08-23,47.5,13.8,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2023-05-23,7.7,7.7,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2023-05-30,3.9,5.5,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2023-06-06,37.1,10.4,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2023-06-13,3.2,7.7,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2023-06-20,6,7.3,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2023-06-27,25.9,9.3,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2023-07-04,6.7,10.4,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2023-07-11,13.3,8.5,,N,NA,PriorLake,70002600,mpn
Watzl's Beach,2023-07-18,1.7,7.5,,N,NA,PriorLake,70002600,mpn
