Date,Ecoli_units,BeachName,Ecoli_1dGM,Ecoli_30dGM,ClosureYN,ClosureReason,MonitoringOrg,DOW
2015-06-08,mpn,Crystal Beach,45.929384405568456,11.540038662238771,N,NA,Burnsville,19002700
2015-06-15,mpn,Crystal Beach,21.970873991252653,13.555554305747691,N,NA,Burnsville,19002700
2015-06-23,mpn,Crystal Beach,46.44451423228873,17.341262404286827,N,NA,Burnsville,19002700
2015-06-29,mpn,Crystal Beach,25.023099716217256,19.779315638704105,N,NA,Burnsville,19002700
2015-07-07,mpn,Crystal Beach,50.425174288474224,35.84034482891747,N,NA,Burnsville,19002700
2015-07-13,mpn,Crystal Beach,142.93677678557557,44.97620952518599,N,NA,Burnsville,19002700
2015-07-20,mpn,Crystal Beach,33.77718895492996,49.01602462156969,N,NA,Burnsville,19002700
2015-07-27,mpn,Crystal Beach,10.825795677085432,36.63052690286071,N,NA,Burnsville,19002700
2015-08-03,mpn,Crystal Beach,40.75710601609807,40.3845838720569,N,NA,Burnsville,19002700
2015-08-10,mpn,Crystal Beach,12.515075145224296,30.561370290124106,N,NA,Burnsville,19002700
2015-08-17,mpn,Crystal Beach,42.74251022988707,24.00579156280641,N,NA,Burnsville,19002700
2015-08-24,mpn,Crystal Beach,67.96566894475973,27.608909258787435,N,NA,Burnsville,19002700
2015-08-31,mpn,Crystal Beach,14.12139334130425,29.116072638486276,N,NA,Burnsville,19002700
2016-06-01,mpn,Crystal Beach,35.83189214082311,35.83189214082311,N,NA,Burnsville,19002700
2016-06-06,mpn,Crystal Beach,17.013599268212293,24.690675444502723,N,NA,Burnsville,19002700
2016-06-13,mpn,Crystal Beach,36.49133465402901,28.124527167131795,N,NA,Burnsville,19002700
2016-06-20,mpn,Crystal Beach,94.44892922750408,38.07265662704656,N,NA,Burnsville,19002700
2016-06-27,mpn,Crystal Beach,47.9398987363691,39.86850659617842,N,NA,Burnsville,19002700
2016-07-05,mpn,Crystal Beach,28.70974833452244,38.140106090356895,N,NA,Burnsville,19002700
2016-07-11,mpn,Crystal Beach,100.77950788607674,54.43736602697412,N,NA,Burnsville,19002700
2016-07-18,mpn,Crystal Beach,25.462659688941716,50.657051393861316,N,NA,Burnsville,19002700
2016-07-25,mpn,Crystal Beach,67.84697061078957,47.41399958775209,N,NA,Burnsville,19002700
2016-08-01,mpn,Crystal Beach,44.0973543386383,46.62831009188584,N,NA,Burnsville,19002700
2016-08-08,mpn,Crystal Beach,49.61205103034257,52.018908496404244,N,NA,Burnsville,19002700
2016-08-15,mpn,Crystal Beach,17.917959981154603,36.82514800645609,N,NA,Burnsville,19002700
2016-08-22,mpn,Crystal Beach,100.20607211778933,48.433132159200106,N,NA,Burnsville,19002700
2016-08-29,mpn,Crystal Beach,31.799596529828083,41.62179304097434,N,NA,Burnsville,19002700
2017-05-30,mpn,Crystal Beach,45.99322521525317,45.99322521525317,N,NA,Burnsville,19002700
2017-06-05,mpn,Crystal Beach,10.62658569182611,22.107712432392123,N,NA,Burnsville,19002700
2017-06-12,mpn,Crystal Beach,56.97367205168174,30.31009342628877,N,NA,Burnsville,19002700
2017-06-19,mpn,Crystal Beach,83.89579671360539,39.09538613753142,N,NA,Burnsville,19002700
2017-06-26,mpn,Crystal Beach,5.241482788417793,26.15719911488725,N,NA,Burnsville,19002700
2017-07-05,mpn,Crystal Beach,60.519496300653195,27.633222014688545,N,NA,Burnsville,19002700
2017-07-10,mpn,Crystal Beach,71.04785506166971,40.4075920355458,N,NA,Burnsville,19002700
2017-07-17,mpn,Crystal Beach,15.091915617510034,30.97968532880009,N,NA,Burnsville,19002700
2017-07-24,mpn,Crystal Beach,13.367292324479253,21.455451137728772,N,NA,Burnsville,19002700
2017-07-31,mpn,Crystal Beach,3.1329132780291356,19.356930583302013,N,NA,Burnsville,19002700
2017-08-07,mpn,Crystal Beach,0.7518472981024874,8.047914620250237,N,NA,Burnsville,19002700
2017-08-15,mpn,Crystal Beach,17.316924642468525,6.068303864354477,N,NA,Burnsville,19002700
2017-08-22,mpn,Crystal Beach,44.95651173107146,7.54878345044421,N,NA,Burnsville,19002700
2017-08-28,mpn,Crystal Beach,10.058734352196169,7.131435288340559,N,NA,Burnsville,19002700
2018-05-29,mpn,Crystal Beach,9.612267303731903,9.612267303731903,N,NA,Burnsville,19002700
2018-06-04,mpn,Crystal Beach,2,4.3845791824830584,N,NA,Burnsville,19002700
2018-06-11,mpn,Crystal Beach,43.34744021314896,9.410364170353883,N,NA,Burnsville,19002700
2018-06-20,mpn,Crystal Beach,147.68856473386913,18.730162287172035,N,NA,Burnsville,19002700
2018-06-25,mpn,Crystal Beach,35.70569784064526,21.309866910017213,N,NA,Burnsville,19002700
2018-07-02,mpn,Crystal Beach,23.07558748509641,25.38903082005464,N,NA,Burnsville,19002700
2018-07-09,mpn,Crystal Beach,15.386893610689855,38.18302341915456,N,NA,Burnsville,19002700
2018-07-16,mpn,Crystal Beach,26.394291120941936,34.576388006714446,N,NA,Burnsville,19002700
2018-07-23,mpn,Crystal Beach,6.9208777440296325,18.747462114011213,N,NA,Burnsville,19002700
2018-07-30,mpn,Crystal Beach,5.12992784003009,12.717953441614252,N,NA,Burnsville,19002700
2018-08-06,mpn,Crystal Beach,12.979213328676803,11.335386991238348,N,NA,Burnsville,19002700
2018-08-13,mpn,Crystal Beach,18.29513442266736,11.734734885471294,N,NA,Burnsville,19002700
2018-08-20,mpn,Crystal Beach,11.574060150059298,9.95103901190809,N,NA,Burnsville,19002700
